Time,Temp,Weather,Wind,Humidity,Barometer,Day
17:00,33 °C,Scattered clouds.,22 km/h,63%,1009 mbar,"Thu, 2 Mar"
18:00,31 °C,Passing clouds.,19 km/h,70%,1009 mbar,"Thu, 2 Mar"
19:00,30 °C,Passing clouds.,9 km/h,75%,1010 mbar,"Thu, 2 Mar"
20:00,29 °C,Passing clouds.,9 km/h,84%,1010 mbar,"Thu, 2 Mar"
21:00,29 °C,Passing clouds.,7 km/h,84%,1011 mbar,"Thu, 2 Mar"
22:00,29 °C,Passing clouds.,9 km/h,84%,1012 mbar,"Thu, 2 Mar"
23:00,29 °C,Passing clouds.,7 km/h,84%,1012 mbar,"Thu, 2 Mar"
00:00,25 °C,Thunderstorms. Passing clouds.,9 km/h,94%,1016 mbar,"Wed, 1 Mar"
02:00,25 °C,Thunderstorms. Passing clouds.,7 km/h,89%,1014 mbar,"Wed, 1 Mar"
03:00,25 °C,Thunderstorms. Passing clouds.,6 km/h,89%,1012 mbar,"Wed, 1 Mar"
04:00,24 °C,Thunderstorms. Passing clouds.,6 km/h,94%,1011 mbar,"Wed, 1 Mar"
05:00,24 °C,Passing clouds.,7 km/h,94%,1011 mbar,"Wed, 1 Mar"
06:00,24 °C,Passing clouds.,9 km/h,94%,1012 mbar,"Wed, 1 Mar"
07:00,24 °C,Passing clouds.,6 km/h,94%,1013 mbar,"Wed, 1 Mar"
08:00,25 °C,Passing clouds.,6 km/h,94%,1013 mbar,"Wed, 1 Mar"
09:00,27 °C,Passing clouds.,6 km/h,84%,1014 mbar,"Wed, 1 Mar"
10:00,28 °C,Passing clouds.,6 km/h,79%,1015 mbar,"Wed, 1 Mar"
12:00,33 °C,Passing clouds.,11 km/h,59%,1014 mbar,"Wed, 1 Mar"
13:00,34 °C,Passing clouds.,7 km/h,53%,1012 mbar,"Wed, 1 Mar"
14:00,35 °C,Passing clouds.,15 km/h,53%,1011 mbar,"Wed, 1 Mar"
15:00,35 °C,Passing clouds.,17 km/h,50%,1010 mbar,"Wed, 1 Mar"
16:00,34 °C,Passing clouds.,15 km/h,53%,1009 mbar,"Wed, 1 Mar"
17:00,33 °C,Passing clouds.,17 km/h,59%,1009 mbar,"Wed, 1 Mar"
18:00,31 °C,Passing clouds.,19 km/h,70%,1010 mbar,"Wed, 1 Mar"
19:00,30 °C,Passing clouds.,15 km/h,70%,1010 mbar,"Wed, 1 Mar"
20:00,30 °C,Passing clouds.,13 km/h,70%,1011 mbar,"Wed, 1 Mar"
21:00,29 °C,Passing clouds.,13 km/h,79%,1011 mbar,"Wed, 1 Mar"
22:00,29 °C,Passing clouds.,13 km/h,79%,1012 mbar,"Wed, 1 Mar"
23:00,29 °C,Passing clouds.,9 km/h,79%,1012 mbar,"Wed, 1 Mar"
00:00,26 °C,Thunderstorms. Passing clouds.,19 km/h,89%,1015 mbar,"Tue, 28 Feb"
02:00,25 °C,Thunderstorms. Passing clouds.,6 km/h,89%,1014 mbar,"Tue, 28 Feb"
03:00,24 °C,Thunderstorms. Passing clouds.,7 km/h,100%,1014 mbar,"Tue, 28 Feb"
04:00,25 °C,Passing clouds.,4 km/h,89%,1013 mbar,"Tue, 28 Feb"
05:00,25 °C,Passing clouds.,4 km/h,94%,1014 mbar,"Tue, 28 Feb"
06:00,25 °C,Passing clouds.,9 km/h,94%,1013 mbar,"Tue, 28 Feb"
07:00,25 °C,Passing clouds.,11 km/h,89%,1013 mbar,"Tue, 28 Feb"
08:00,25 °C,Passing clouds.,4 km/h,89%,1014 mbar,"Tue, 28 Feb"
09:00,27 °C,Passing clouds.,7 km/h,79%,1015 mbar,"Tue, 28 Feb"
10:00,29 °C,Passing clouds.,6 km/h,70%,1015 mbar,"Tue, 28 Feb"
11:00,32 °C,Scattered clouds.,11 km/h,59%,1014 mbar,"Tue, 28 Feb"
12:00,34 °C,Passing clouds.,13 km/h,49%,1013 mbar,"Tue, 28 Feb"
13:00,35 °C,Passing clouds.,15 km/h,47%,1013 mbar,"Tue, 28 Feb"
14:00,36 °C,Passing clouds.,22 km/h,47%,1011 mbar,"Tue, 28 Feb"
15:00,36 °C,Passing clouds.,9 km/h,47%,1011 mbar,"Tue, 28 Feb"
16:00,36 °C,Passing clouds.,9 km/h,47%,1010 mbar,"Tue, 28 Feb"
17:00,34 °C,Passing clouds.,11 km/h,56%,1010 mbar,"Tue, 28 Feb"
18:00,31 °C,Passing clouds.,11 km/h,70%,1010 mbar,"Tue, 28 Feb"
19:00,30 °C,Passing clouds.,13 km/h,75%,1011 mbar,"Tue, 28 Feb"
20:00,29 °C,Passing clouds.,11 km/h,79%,1013 mbar,"Tue, 28 Feb"
21:00,28 °C,Passing clouds.,11 km/h,89%,1014 mbar,"Tue, 28 Feb"
22:00,28 °C,Passing clouds.,7 km/h,89%,1015 mbar,"Tue, 28 Feb"
23:00,25 °C,Thunderstorms. Passing clouds.,19 km/h,94%,1017 mbar,"Tue, 28 Feb"
13:00,34 °C,Scattered clouds.,7 km/h,56%,1012 mbar,"Mon, 27 Feb"
14:00,34 °C,Partly sunny.,20 km/h,56%,1012 mbar,"Mon, 27 Feb"
15:00,35 °C,Partly sunny.,20 km/h,56%,1011 mbar,"Mon, 27 Feb"
16:00,34 °C,Partly sunny.,22 km/h,59%,1011 mbar,"Mon, 27 Feb"
18:00,31 °C,Scattered clouds.,13 km/h,70%,1010 mbar,"Mon, 27 Feb"
19:00,30 °C,Passing clouds.,13 km/h,79%,1011 mbar,"Mon, 27 Feb"
20:00,29 °C,Passing clouds.,20 km/h,84%,1012 mbar,"Mon, 27 Feb"
21:00,29 °C,Passing clouds.,17 km/h,84%,1013 mbar,"Mon, 27 Feb"
22:00,29 °C,Passing clouds.,13 km/h,84%,1014 mbar,"Mon, 27 Feb"
23:00,29 °C,Passing clouds.,7 km/h,84%,1015 mbar,"Mon, 27 Feb"
03:00,26 °C,Passing clouds.,4 km/h,89%,1010 mbar,"Sun, 26 Feb"
08:00,25 °C,Passing clouds.,6 km/h,89%,1012 mbar,"Sun, 26 Feb"
09:00,28 °C,Passing clouds.,6 km/h,79%,1013 mbar,"Sun, 26 Feb"
10:00,31 °C,Scattered clouds.,17 km/h,75%,1013 mbar,"Sat, 25 Feb"
13:00,33 °C,Partly sunny.,19 km/h,63%,1012 mbar,"Sat, 25 Feb"
14:00,34 °C,Partly sunny.,24 km/h,56%,1011 mbar,"Sat, 25 Feb"
15:00,33 °C,Passing clouds.,17 km/h,63%,1009 mbar,"Sat, 25 Feb"
16:00,33 °C,Passing clouds.,20 km/h,63%,1009 mbar,"Sat, 25 Feb"
17:00,33 °C,Passing clouds.,20 km/h,63%,1009 mbar,"Sat, 25 Feb"
00:00,28 °C,Passing clouds.,13 km/h,94%,1011 mbar,"Fri, 24 Feb"
02:00,27 °C,Passing clouds.,9 km/h,94%,1010 mbar,"Fri, 24 Feb"
03:00,27 °C,Passing clouds.,6 km/h,94%,1010 mbar,"Fri, 24 Feb"
04:00,27 °C,Passing clouds.,7 km/h,94%,1010 mbar,"Fri, 24 Feb"
06:00,26 °C,Passing clouds.,6 km/h,100%,1010 mbar,"Fri, 24 Feb"
08:00,28 °C,Scattered clouds.,6 km/h,84%,1011 mbar,"Fri, 24 Feb"
13:00,34 °C,Partly sunny.,7 km/h,59%,1011 mbar,"Fri, 24 Feb"
00:00,28 °C,Passing clouds.,9 km/h,94%,1012 mbar,"Thu, 23 Feb"
02:00,28 °C,Passing clouds.,11 km/h,94%,1011 mbar,"Thu, 23 Feb"
03:00,27 °C,Passing clouds.,11 km/h,94%,1010 mbar,"Thu, 23 Feb"
04:00,27 °C,Passing clouds.,11 km/h,94%,1010 mbar,"Thu, 23 Feb"
05:00,27 °C,Passing clouds.,9 km/h,94%,1010 mbar,"Thu, 23 Feb"
06:00,27 °C,Passing clouds.,6 km/h,94%,1010 mbar,"Thu, 23 Feb"
07:00,27 °C,Haze.,4 km/h,94%,1011 mbar,"Thu, 23 Feb"
08:00,27 °C,Haze.,4 km/h,94%,1012 mbar,"Thu, 23 Feb"
09:00,28 °C,Haze.,7 km/h,94%,1013 mbar,"Thu, 23 Feb"
10:00,30 °C,Scattered clouds.,7 km/h,84%,1013 mbar,"Thu, 23 Feb"
11:00,32 °C,Scattered clouds.,7 km/h,75%,1012 mbar,"Thu, 23 Feb"
12:00,33 °C,Scattered clouds.,7 km/h,67%,1012 mbar,"Thu, 23 Feb"
13:00,33 °C,Scattered clouds.,9 km/h,63%,1010 mbar,"Thu, 23 Feb"
14:00,34 °C,Scattered clouds.,19 km/h,59%,1010 mbar,"Thu, 23 Feb"
15:00,35 °C,Haze.,7 km/h,56%,1008 mbar,"Thu, 23 Feb"
16:00,35 °C,Haze.,9 km/h,56%,1008 mbar,"Thu, 23 Feb"
17:00,34 °C,Haze.,7 km/h,63%,1008 mbar,"Thu, 23 Feb"
18:00,31 °C,Haze.,9 km/h,75%,1008 mbar,"Thu, 23 Feb"
19:00,30 °C,Haze.,19 km/h,84%,1008 mbar,"Thu, 23 Feb"
20:00,30 °C,Haze.,11 km/h,84%,1009 mbar,"Thu, 23 Feb"
21:00,29 °C,Passing clouds.,9 km/h,89%,1011 mbar,"Thu, 23 Feb"
22:00,29 °C,Passing clouds.,11 km/h,89%,1011 mbar,"Thu, 23 Feb"
23:00,28 °C,Passing clouds.,13 km/h,94%,1011 mbar,"Thu, 23 Feb"
00:00,28 °C,Haze.,9 km/h,84%,1011 mbar,"Wed, 22 Feb"
02:00,27 °C,Haze.,7 km/h,89%,1010 mbar,"Wed, 22 Feb"
03:00,27 °C,Haze.,7 km/h,89%,1010 mbar,"Wed, 22 Feb"
04:00,27 °C,Haze.,4 km/h,89%,1010 mbar,"Wed, 22 Feb"
05:00,27 °C,Haze.,4 km/h,89%,1010 mbar,"Wed, 22 Feb"
06:00,26 °C,Haze.,4 km/h,94%,1011 mbar,"Wed, 22 Feb"
07:00,26 °C,Haze.,4 km/h,94%,1011 mbar,"Wed, 22 Feb"
08:00,27 °C,Haze.,4 km/h,89%,1012 mbar,"Wed, 22 Feb"
10:00,30 °C,Scattered clouds.,6 km/h,79%,1012 mbar,"Wed, 22 Feb"
11:00,32 °C,Scattered clouds.,9 km/h,67%,1012 mbar,"Wed, 22 Feb"
12:00,34 °C,Scattered clouds.,11 km/h,59%,1012 mbar,"Wed, 22 Feb"
13:00,35 °C,Scattered clouds.,9 km/h,53%,1011 mbar,"Wed, 22 Feb"
14:00,35 °C,Scattered clouds.,11 km/h,53%,1010 mbar,"Wed, 22 Feb"
15:00,35 °C,Scattered clouds.,11 km/h,50%,1010 mbar,"Wed, 22 Feb"
16:00,35 °C,Haze.,17 km/h,56%,1009 mbar,"Wed, 22 Feb"
17:00,34 °C,Haze.,17 km/h,59%,1009 mbar,"Wed, 22 Feb"
18:00,31 °C,Haze.,17 km/h,75%,1009 mbar,"Wed, 22 Feb"
19:00,30 °C,Haze.,17 km/h,79%,1009 mbar,"Wed, 22 Feb"
22:00,28 °C,Haze.,15 km/h,89%,1012 mbar,"Wed, 22 Feb"
23:00,28 °C,Passing clouds.,11 km/h,89%,1012 mbar,"Wed, 22 Feb"
00:00,28 °C,Haze.,7 km/h,89%,1011 mbar,"Tue, 21 Feb"
02:00,28 °C,Haze.,No wind,89%,1010 mbar,"Tue, 21 Feb"
04:00,28 °C,Haze.,No wind,89%,1010 mbar,"Tue, 21 Feb"
05:00,27 °C,Haze.,4 km/h,94%,1010 mbar,"Tue, 21 Feb"
06:00,26 °C,Haze.,6 km/h,94%,1010 mbar,"Tue, 21 Feb"
07:00,26 °C,Haze.,4 km/h,94%,1010 mbar,"Tue, 21 Feb"
08:00,27 °C,Haze.,6 km/h,94%,1011 mbar,"Tue, 21 Feb"
09:00,28 °C,Haze.,13 km/h,89%,1012 mbar,"Tue, 21 Feb"
10:00,29 °C,Scattered clouds.,19 km/h,79%,1012 mbar,"Tue, 21 Feb"
11:00,30 °C,Scattered clouds.,13 km/h,79%,1012 mbar,"Tue, 21 Feb"
12:00,32 °C,Scattered clouds.,13 km/h,63%,1011 mbar,"Tue, 21 Feb"
13:00,34 °C,Scattered clouds.,7 km/h,49%,1010 mbar,"Tue, 21 Feb"
14:00,35 °C,Haze.,6 km/h,50%,1009 mbar,"Tue, 21 Feb"
15:00,35 °C,Haze.,15 km/h,53%,1008 mbar,"Tue, 21 Feb"
16:00,35 °C,Haze.,22 km/h,56%,1007 mbar,"Tue, 21 Feb"
17:00,34 °C,Haze.,19 km/h,59%,1007 mbar,"Tue, 21 Feb"
20:00,29 °C,Haze.,11 km/h,74%,1009 mbar,"Tue, 21 Feb"
21:00,29 °C,Haze.,9 km/h,74%,1010 mbar,"Tue, 21 Feb"
22:00,29 °C,Haze.,7 km/h,74%,1011 mbar,"Tue, 21 Feb"
23:00,28 °C,Haze.,13 km/h,84%,1011 mbar,"Tue, 21 Feb"
00:00,29 °C,Haze.,6 km/h,55%,1011 mbar,"Mon, 20 Feb"
02:00,29 °C,Haze.,4 km/h,55%,1010 mbar,"Mon, 20 Feb"
03:00,28 °C,Haze.,4 km/h,58%,1010 mbar,"Mon, 20 Feb"
04:00,27 °C,Haze.,4 km/h,70%,1010 mbar,"Mon, 20 Feb"
05:00,25 °C,Haze.,4 km/h,89%,1010 mbar,"Mon, 20 Feb"
06:00,25 °C,Haze.,4 km/h,89%,1010 mbar,"Mon, 20 Feb"
07:00,25 °C,Haze.,4 km/h,89%,1010 mbar,"Mon, 20 Feb"
08:00,25 °C,Haze.,4 km/h,89%,1011 mbar,"Mon, 20 Feb"
09:00,27 °C,Haze.,9 km/h,79%,1012 mbar,"Mon, 20 Feb"
10:00,29 °C,Haze.,9 km/h,79%,1012 mbar,"Mon, 20 Feb"
11:00,30 °C,Haze.,13 km/h,75%,1012 mbar,"Mon, 20 Feb"
12:00,32 °C,Haze.,17 km/h,63%,1012 mbar,"Mon, 20 Feb"
13:00,33 °C,Haze.,9 km/h,56%,1010 mbar,"Mon, 20 Feb"
14:00,34 °C,Haze.,13 km/h,53%,1009 mbar,"Mon, 20 Feb"
15:00,35 °C,Haze.,19 km/h,44%,1008 mbar,"Mon, 20 Feb"
16:00,35 °C,Haze.,17 km/h,50%,1007 mbar,"Mon, 20 Feb"
17:00,34 °C,Haze.,19 km/h,56%,1007 mbar,"Mon, 20 Feb"
18:00,31 °C,Haze.,13 km/h,66%,1007 mbar,"Mon, 20 Feb"
19:00,30 °C,Haze.,7 km/h,70%,1008 mbar,"Mon, 20 Feb"
20:00,29 °C,Haze.,7 km/h,74%,1009 mbar,"Mon, 20 Feb"
21:00,29 °C,Haze.,7 km/h,74%,1010 mbar,"Mon, 20 Feb"
22:00,29 °C,Haze.,7 km/h,74%,1010 mbar,"Mon, 20 Feb"
23:00,28 °C,Haze.,7 km/h,89%,1011 mbar,"Mon, 20 Feb"
00:00,27 °C,Haze.,6 km/h,58%,1011 mbar,"Sun, 19 Feb"
02:00,27 °C,Haze.,4 km/h,62%,1010 mbar,"Sun, 19 Feb"
03:00,27 °C,Haze.,4 km/h,62%,1010 mbar,"Sun, 19 Feb"
04:00,26 °C,Haze.,4 km/h,65%,1009 mbar,"Sun, 19 Feb"
05:00,25 °C,Haze.,4 km/h,65%,1009 mbar,"Sun, 19 Feb"
06:00,24 °C,Haze.,4 km/h,69%,1009 mbar,"Sun, 19 Feb"
07:00,24 °C,Duststorm.,7 km/h,74%,1010 mbar,"Sun, 19 Feb"
08:00,25 °C,Haze.,13 km/h,65%,1011 mbar,"Sun, 19 Feb"
09:00,26 °C,Haze.,9 km/h,65%,1011 mbar,"Sun, 19 Feb"
10:00,27 °C,Haze.,13 km/h,62%,1012 mbar,"Sun, 19 Feb"
11:00,30 °C,Haze.,6 km/h,55%,1012 mbar,"Sun, 19 Feb"
12:00,31 °C,Haze.,6 km/h,55%,1011 mbar,"Sun, 19 Feb"
13:00,33 °C,Haze.,11 km/h,52%,1010 mbar,"Sun, 19 Feb"
14:00,34 °C,Haze.,4 km/h,44%,1009 mbar,"Sun, 19 Feb"
15:00,35 °C,Haze.,11 km/h,39%,1008 mbar,"Sun, 19 Feb"
16:00,34 °C,Haze.,9 km/h,47%,1007 mbar,"Sun, 19 Feb"
17:00,33 °C,Haze.,11 km/h,49%,1008 mbar,"Sun, 19 Feb"
18:00,31 °C,Haze.,6 km/h,49%,1008 mbar,"Sun, 19 Feb"
19:00,30 °C,Haze.,6 km/h,52%,1009 mbar,"Sun, 19 Feb"
20:00,30 °C,Haze.,6 km/h,52%,1009 mbar,"Sun, 19 Feb"
21:00,29 °C,Haze.,6 km/h,55%,1010 mbar,"Sun, 19 Feb"
22:00,29 °C,Haze.,6 km/h,55%,1011 mbar,"Sun, 19 Feb"
23:00,29 °C,Haze.,7 km/h,55%,1011 mbar,"Sun, 19 Feb"
00:00,27 °C,Haze.,No wind,70%,1010 mbar,"Sat, 18 Feb"
02:00,27 °C,Haze.,No wind,70%,1009 mbar,"Sat, 18 Feb"
03:00,26 °C,Haze.,No wind,79%,1009 mbar,"Sat, 18 Feb"
04:00,25 °C,Haze.,No wind,79%,1009 mbar,"Sat, 18 Feb"
05:00,24 °C,Haze.,4 km/h,74%,1009 mbar,"Sat, 18 Feb"
06:00,23 °C,Haze.,4 km/h,74%,1009 mbar,"Sat, 18 Feb"
07:00,22 °C,Haze.,6 km/h,69%,1010 mbar,"Sat, 18 Feb"
08:00,22 °C,Haze.,9 km/h,50%,1011 mbar,"Sat, 18 Feb"
09:00,25 °C,Haze.,4 km/h,44%,1012 mbar,"Sat, 18 Feb"
12:00,33 °C,Haze.,6 km/h,20%,1011 mbar,"Sat, 18 Feb"
14:00,36 °C,Haze.,11 km/h,20%,1009 mbar,"Sat, 18 Feb"
15:00,36 °C,Haze.,7 km/h,23%,1008 mbar,"Sat, 18 Feb"
16:00,36 °C,Haze.,15 km/h,25%,1007 mbar,"Sat, 18 Feb"
17:00,35 °C,Haze.,11 km/h,26%,1007 mbar,"Sat, 18 Feb"
18:00,33 °C,Haze.,11 km/h,32%,1007 mbar,"Sat, 18 Feb"
19:00,30 °C,Haze.,7 km/h,40%,1008 mbar,"Sat, 18 Feb"
20:00,29 °C,Haze.,7 km/h,45%,1009 mbar,"Sat, 18 Feb"
21:00,28 °C,Haze.,7 km/h,48%,1010 mbar,"Sat, 18 Feb"
22:00,27 °C,Haze.,7 km/h,54%,1010 mbar,"Sat, 18 Feb"
23:00,27 °C,Haze.,6 km/h,54%,1011 mbar,"Sat, 18 Feb"
00:00,28 °C,Haze.,6 km/h,62%,1010 mbar,"Fri, 17 Feb"
02:00,27 °C,Haze.,6 km/h,66%,1010 mbar,"Fri, 17 Feb"
03:00,27 °C,Haze.,6 km/h,66%,1009 mbar,"Fri, 17 Feb"
04:00,27 °C,Haze.,4 km/h,66%,1090 mbar,"Fri, 17 Feb"
05:00,26 °C,Haze.,4 km/h,70%,1009 mbar,"Fri, 17 Feb"
06:00,25 °C,Haze.,4 km/h,74%,1010 mbar,"Fri, 17 Feb"
07:00,25 °C,Haze.,13 km/h,74%,1010 mbar,"Fri, 17 Feb"
08:00,25 °C,Haze.,13 km/h,69%,1010 mbar,"Fri, 17 Feb"
09:00,26 °C,Haze.,15 km/h,58%,1011 mbar,"Fri, 17 Feb"
10:00,28 °C,Haze.,13 km/h,35%,1012 mbar,"Fri, 17 Feb"
11:00,30 °C,Haze.,19 km/h,31%,1012 mbar,"Fri, 17 Feb"
12:00,31 °C,Haze.,11 km/h,29%,1011 mbar,"Fri, 17 Feb"
13:00,34 °C,Haze.,22 km/h,24%,1010 mbar,"Fri, 17 Feb"
14:00,35 °C,Haze.,17 km/h,25%,1009 mbar,"Fri, 17 Feb"
15:00,35 °C,Haze.,7 km/h,25%,1008 mbar,"Fri, 17 Feb"
16:00,36 °C,Haze.,7 km/h,25%,1007 mbar,"Fri, 17 Feb"
17:00,34 °C,Haze.,9 km/h,32%,1007 mbar,"Fri, 17 Feb"
18:00,33 °C,Haze.,9 km/h,32%,1007 mbar,"Fri, 17 Feb"
19:00,31 °C,Haze.,7 km/h,49%,1008 mbar,"Fri, 17 Feb"
20:00,28 °C,Haze.,6 km/h,58%,1009 mbar,"Fri, 17 Feb"
21:00,27 °C,Haze.,4 km/h,66%,1010 mbar,"Fri, 17 Feb"
22:00,27 °C,Haze.,4 km/h,66%,1010 mbar,"Fri, 17 Feb"
23:00,27 °C,Haze.,4 km/h,66%,1010 mbar,"Fri, 17 Feb"
14:00,34 °C,Haze.,19 km/h,36%,1008 mbar,"Thu, 16 Feb"
15:00,35 °C,Haze.,11 km/h,34%,1007 mbar,"Thu, 16 Feb"
16:00,36 °C,Haze.,6 km/h,28%,1007 mbar,"Thu, 16 Feb"
17:00,35 °C,Haze.,17 km/h,30%,1006 mbar,"Thu, 16 Feb"
18:00,33 °C,Haze.,19 km/h,36%,1007 mbar,"Thu, 16 Feb"
19:00,31 °C,Haze.,7 km/h,49%,1007 mbar,"Thu, 16 Feb"
20:00,30 °C,Haze.,6 km/h,52%,1008 mbar,"Thu, 16 Feb"
21:00,29 °C,Haze.,6 km/h,58%,1009 mbar,"Thu, 16 Feb"
22:00,28 °C,Haze.,4 km/h,62%,1010 mbar,"Thu, 16 Feb"
23:00,28 °C,Haze.,4 km/h,62%,1010 mbar,"Thu, 16 Feb"
